Stock,Date,Open,High,Low,Close,Volume
HILTON,14-May-24,108.95,113.1,107.8,113.1,117885
HILTON,13-May-24,111.9,111.9,106.25,107.75,179683
HILTON,10-May-24,111.9,113.45,109,109.85,149990
HILTON,09-May-24,113.15,114.5,108.55,111.6,93893
HILTON,08-May-24,114.95,115,111.45,112.75,82885
HILTON,07-May-24,114.35,114.35,110.7,113.9,123481
HILTON,06-May-24,116.95,116.95,111.2,113.75,95148
HILTON,03-May-24,116.5,117,113.55,115.6,137049
HILTON,02-May-24,111.15,116.35,111.15,113.15,309616
HILTON,30-Apr-24,117.8,117.8,114.55,116.35,170612
HILTON,29-Apr-24,118.95,119,114.3,115.85,189587
HILTON,26-Apr-24,115.95,118.4,114.25,117.7,195647
HILTON,25-Apr-24,121,121,114.15,116.85,239865
HILTON,24-Apr-24,117.4,121.45,115.35,118.8,264978
HILTON,23-Apr-24,119,119,114.1,117.4,220036
HILTON,19-Apr-24,115.5,117.5,112.9,116.7,141174
HILTON,18-Apr-24,119,120.35,113.15,114.3,121882
HILTON,16-Apr-24,118.8,124.5,116,118.6,121216
HILTON,15-Apr-24,121.95,121.95,117.6,118.75,112668
HILTON,12-Apr-24,123.9,124.45,120.55,123.65,88855
HILTON,10-Apr-24,127.1,128.35,122.55,123.25,92917
HILTON,09-Apr-24,125.95,128.55,122.2,127.1,162186
HILTON,08-Apr-24,132.15,135.25,125.55,125.6,120083
HILTON,05-Apr-24,133.75,135.4,130.3,132.15,305956
HILTON,04-Apr-24,129,135.9,128.9,134.65,483602
HILTON,03-Apr-24,131.15,134.9,127,128.7,782720
HILTON,02-Apr-24,112.95,123.4,112.4,123.4,815781
HILTON,01-Apr-24,96.8,112.2,96.8,112.2,720678
HILTON,28-Mar-24,101.75,104.9,99.25,102,390936
HILTON,27-Mar-24,105,108.3,99.9,102.2,549469
HILTON,26-Mar-24,113.05,113.2,105,106.7,373164
HILTON,22-Mar-24,110,113,105.45,110.7,430830
HILTON,21-Mar-24,108.5,111,106.2,109.8,319939
HILTON,20-Mar-24,113.5,113.5,104.85,108.65,233650
HILTON,19-Mar-24,115,115.6,107,111.65,462627
HILTON,18-Mar-24,112.05,117.8,112.05,115.75,358208
HILTON,15-Mar-24,110.4,116.35,107.5,112.05,273690
HILTON,14-Mar-24,114,118.85,97.05,110.4,741565
HILTON,13-Mar-24,146.1,148.45,116.2,116.2,764056
HILTON,12-Mar-24,154.45,154.45,143,145.25,569947
HILTON,11-Mar-24,157.6,157.6,148.1,154.85,533845
HILTON,07-Mar-24,155.55,160,153.75,157.6,512308
HILTON,06-Mar-24,160.35,160.4,153.3,155.7,463820
HILTON,05-Mar-24,160.05,160.55,155.5,160.3,849458
HILTON,04-Mar-24,160,164.35,156.3,160.95,1265657
HILTON,02-Mar-24,154.3,162,153.95,160.8,517900
HILTON,01-Mar-24,148.9,155.2,146.25,154.3,677219
HILTON,29-Feb-24,151.8,151.8,144.1,148.2,297017
HILTON,28-Feb-24,147,152,145.5,149.7,696501
HILTON,27-Feb-24,148.7,150,142.5,146.75,513742
HILTON,26-Feb-24,141.4,151.15,139.5,148.6,623049
HILTON,23-Feb-24,142,143.8,137.5,141.4,548817
HILTON,22-Feb-24,135.95,142,132.15,141.05,800513
HILTON,21-Feb-24,131,136,129.2,132.85,537788
HILTON,20-Feb-24,130.9,132.65,128.4,130.75,349813
HILTON,19-Feb-24,128.75,133.4,127.55,129.4,257077
HILTON,16-Feb-24,130.1,131.6,126,128.75,156200
HILTON,15-Feb-24,129.95,133.15,126.2,128.55,226733
HILTON,14-Feb-24,130.9,130.9,124,129.15,229469
HILTON,13-Feb-24,133.95,134,126.55,129.1,164526
HILTON,12-Feb-24,137,141,132.1,134.4,291167
HILTON,09-Feb-24,136.4,142.9,125.85,138,428866
HILTON,08-Feb-24,140.9,140.9,131.7,132.55,338445
HILTON,07-Feb-24,152.8,157.3,134.65,138.1,1183221
HILTON,06-Feb-24,144.3,153.65,144,150.75,929225
HILTON,05-Feb-24,131,145.35,129.1,142.35,1013524
HILTON,02-Feb-24,129.7,131.65,125.85,129.6,222268
HILTON,01-Feb-24,133.5,135.9,128,129.5,184233
HILTON,31-Jan-24,133.2,133.4,128.35,130.75,191057
HILTON,30-Jan-24,131.5,138,129.8,134.5,516062
HILTON,29-Jan-24,129,132,128,129.75,216735
